STABR,FSCSKEY,FSCS_SEQ,C_FSCS,LIBID,LIBNAME,ADDRESS,CITY,ZIP,ZIP4,CNTY,PHONE,C_OUT_TY,SQ_FEET,F_SQ_FT,L_NUM_BM,HOURS,WKS_OPEN,YR_SUB,OBEREG,STATSTRU,STATNAME,STATADDR,LONGITUD,LATITUDE,INCITSST,INCITSCO,GNISPLAC,CNTYPOP,LOCALE,REAPLOCALE,CENTRACT,CENBLOCK,CDCODE,CBSA,MICROF,GEOMATCH
AK,AK0001,002,Y,AK0001-002,ANCHOR POINT PUBLIC LIBRARY,34020 NORTH FORK ROAD,ANCHOR POINT,99556,M,KENAI PENINSULA,9072355692,CE,2880,R_17,0,1404,52,2017,08,00,00,00,-151.825607,59.77965,02,122,03110,58617,43,07,8,3007,0200,-4,N,A
AK,AK0002,007,Y,AK0002-007,CHUGIAK-EAGLE RIVER LIBRARY,12001 BUSINESS BOULEVARD #176,EAGLE RIVER,99577,7743,ANCHORAGE,9073431530,BR,25452,R_17,0,2028,52,2017,08,00,00,00,-149.572119,61.329012,02,020,03000,294356,31,01,2.01,2021,0200,11260,0,A
AK,AK0002,008,Y,AK0002-008,MULDOON LIBRARY,"1251 MULDOON ROAD, SUITE 158",ANCHORAGE,99504,2070,ANCHORAGE,9073434223,BR,8204,R_17,0,1848,52,2017,08,00,00,00,-149.733316,61.210499,02,020,03000,294356,11,01,7.03,5012,0200,11260,0,A
AK,AK0002,010,Y,AK0002-010,SCOTT AND WESLEY GERRISH LIBRARY,250 EGLOFF DRIVE,GIRDWOOD,99587,M,ANCHORAGE,9073434024,BR,3938,R_17,0,1812,52,2017,08,00,00,00,-149.135669,60.959826,02,020,03000,294356,42,01,29,2050,0200,11260,0,A
AK,AK0002,011,Y,AK0002-011,Z. J. LOUSSAC LIBRARY,3600 DENALI STREET,ANCHORAGE,99503,6055,ANCHORAGE,9073432892,CE,135671,R_17,0,3248,52,2017,08,00,00,00,-149.876823,61.187449,02,020,03000,294356,11,01,19,3002,0200,11260,0,A
AK,AK0002,012,Y,AK0002-012,MOUNTAIN VIEW LIBRARY,120 SOUTH BRAGAW STREET,ANCHORAGE,99508,1307,ANCHORAGE,9073432819,BR,10704,R_17,0,1848,52,2017,08,00,00,00,-149.808587,61.222294,02,020,03000,294356,11,01,9.01,2000,0200,11260,0,A
AK,AK0003,002,Y,AK0003-002,ANDERSON COMMUNITY LIBRARY,101 FIRST STREET,ANDERSON,99744,M,DENALI,9075822628,CE,3041,R_17,0,480,48,2017,08,00,00,00,-149.187835,64.343638,02,068,03220,2074,43,07,1,1013,0200,-4,N,A
AK,AK0006,002,Y,AK0006-002,KUSKOKWIM CONSORTIUM LIBRARY,420 CHIEF EDDIE HOFFMAN HIGHWAY,BETHEL,99559,M,BETHEL,9075434516,CE,3656,R_17,0,1280,32,2017,08,00,00,00,-161.771054,60.791143,02,050,06520,18076,33,06,2,2004,0200,-4,N,A
AK,AK0007,002,Y,AK0007-002,BIG LAKE PUBLIC LIBRARY,3140 SOUTH BIG LAKE ROAD,BIG LAKE,99652,M,MATANUSKA-SUSITNA,9078617635,CE,6940,R_17,0,2652,52,2017,08,00,00,00,-149.81979,61.5475,02,170,07070,106532,42,08,5.02,1004,0200,11260,0,A
AK,AK0008,002,Y,AK0008-002,CANTWELL COMMUNITY LIBRARY,1 SCHOOL ROAD,CANTWELL,99729,M,DENALI,-4,CE,1034,R_17,0,720,48,2017,08,00,00,00,-148.900568,63.391202,02,068,10150,2074,43,07,1,2412,0200,-4,N,5
AK,AK0011,002,N,AK0011-002,CHINIAK PUBLIC LIBRARY,43318 SPRUCE WAY,CHINIAK,99615,M,KODIAK ISLAND,-4,CE,0,IP16,0,144,48,2017,08,00,00,00,-152.231294,57.612456,02,150,13860,13448,43,07,1,3123,0200,-4,N,A
AK,AK0014,002,N,AK0014-002,COLD BAY PUBLIC LIBRARY,10 BARANOV ROAD,COLD BAY,99571,M,ALEUTIANS EAST,9075322878,CE,1100,R_17,0,622,50,2017,08,00,00,00,-160.693051,55.696879,02,013,M,3370,43,07,1,2161,0200,-4,N,5
