STABR,POPU_LSA,F_POPLSA,POPU_UND,POPU_ST,CENTLIB,F_CENLIB,BRANLIB,F_BRLIB,BKMOB,F_BKMOB,MASTER,F_MASTER,LIBRARIA,F_LIBRAR,OTHPAID,F_OTHSTF,TOTSTAFF,F_TOTSTF,LOCGVT,F_LOCGVT,STGVT,F_STGVT,FEDGVT,F_FEDGVT,OTHINCM,F_OTHINC,TOTINCM,F_TOTINC,SALARIES,F_SALX,BENEFIT,F_BENX,STAFFEXP,F_TOSTFX,PRMATEXP,F_PRMATX,ELMATEXP,F_ELMATX,OTHMATEX,F_OTMATX,TOTEXPCO,F_TOCOLX,OTHOPEXP,F_OTHOPX,TOTOPEXP,F_TOTOPX,LCAP_REV,F_LCAPRV,SCAP_REV,F_SCAPRV,FCAP_REV,F_FCAPRV,OCAP_REV,F_OCAPRV,CAP_REV,F_TCAPRV,CAPITAL,F_TCAPX,BKVOL,EBOOK,F_EBOOK,AUDIO_PH,F_AUD_PH,AUDIO_DL,F_AUD_DL,VIDEO_PH,F_VID_PH,VIDEO_DL,F_VID_DL,EC_LO_OT,F_EC_L_O,EC_ST,F_EC_ST,ELECCOLL,F_ELECOL,SUBSCRIP,F_PRSUB,HRS_OPEN,F_HRS_OP,VISITS,F_VISITS,REFERENC,F_REFER,REGBOR,F_REGBOR,TOTCIR,KIDCIRCL,F_KIDCIR,ELMATCIR,PHYSCIR,ELINFO,ELCONT,TOTCOLL,LOANTO,F_LOANTO,LOANFM,F_LOANFM,TOTPRO,F_TOTPRO,KIDPRO,F_KIDPRO,YAPRO,F_YAPRO,TOTATTEN,F_TOTATT,KIDATTEN,F_KIDATT,YAATTEN,F_YAATT,GPTERMS,F_GPTERM,PITUSR,F_PITUSR,WIFISESS,STARTDAT,ENDDATE,INCITSST,YR_SUB,OBEREG
AK,649636,R_17,649636,737080,79,R_17,16,R_17,1,R_17,56.9,R_17,105.31,R_17,195.27,R_17,300.58,R_17,35535907,R_17,967811,R_17,760297,R_17,1086505,R_17,38350520,R_17,14825147,IF17,8817590,IF17,23642737,IF17,1766174,R_17,590787,IF17,83053,IF17,2440014,R_17,10232067,R_17,36314818,R_17,88549,R_17,882017,R_17,0,R_17,543731,R_17,1514297,R_17,12964531,R_17,2241681,1190695,R_17,117588,IF17,899185,R_17,301449,R_17,15039,R_17,356,R_17,3794,R_17,4150,R_17,4397,R_17,143746,R_17,3403598,IF17,356776,R_17,368512,R_17,4725553,1499911,IF17,608351,4117202,213926,822274,4939476,9403,IF17,10008,IF17,13771,R_17,8873,R_17,1520,R_17,266184,R_17,193013,R_17,20407,R_17,983,R_17,617059,IF17,589331,01/01/2016,06/30/2017,02,2017,08
AL,4858979,R_17,4858979,4858979,222,R_17,73,R_17,15,R_17,334.38,R_17,761.26,R_17,948.56,R_17,1709.82,R_17,95284671,R_17,4289664,R_17,884759,R_17,9561929,R_17,110021023,R_17,56852173,R_17,15207301,R_17,72059474,R_17,6236182,R_17,2078897,R_17,2156596,R_17,10471675,R_17,20920399,R_17,103451548,R_17,5584461,R_17,0,R_17,92425,R_17,282280,R_17,5959166,R_17,7740222,R_17,8835816,4551754,R_17,435091,R_17,1610947,IF17,674779,IF17,114098,IF17,1077,R_17,13603,R_17,14680,R_17,8543,R_17,628602,R_17,14583055,R_17,4114709,IF17,2620475,R_17,19974984,6768365,R_17,2654129,17320855,8385998,11040127,28360982,386422,R_17,418634,R_17,51354,R_17,25096,R_17,6647,IF17,1273334,R_17,807789,R_17,116403,IF17,5056,R_17,3729784,IF17,4087113,10/01/2016,09/30/2017,01,2017,05
AR,2925255,R_17,2643928,2915918,54,R_17,181,R_17,3,R_17,154.02,IF17,327.7,IF17,771.01,IF17,1098.71,IF17,71811926,IF17,5093835,IF17,3198,IF17,7001346,IF17,83910305,IF17,36971331,IF17,11420197,IF17,48391528,IF17,5218162,IF17,2662117,IF17,1831950,IF17,9712229,IF17,19591119,IF17,77694876,IF17,25424513,IF17,177084,IF17,0,IF17,2423208,IF17,28024805,IF17,13268186,IF17,6078553,1426355,IF17,256759,IF17,1488248,IF17,526151,IF17,75191,IF17,369,IF17,3120,R_17,3489,IF17,9287,IF17,322503,IF17,10358181,IF17,2664467,IF17,1665795,IF17,13900209,3918856,IF17,1748493,12151716,4420947,6169440,18321156,27872,IF17,26998,IF17,46138,IF17,26202,IF17,7295,IF17,1136567,IF17,671586,IF17,112913,IF17,2811,IF17,1526940,IF17,1623761,01/01/2017,12/31/2017,05,2017,05
AS,60300,R_17,60300,60300,1,R_17,1,R_17,0,R_17,1,R_17,1,R_17,9,R_17,10,R_17,0,R_17,280252,R_17,116264,R_17,11470,R_17,407986,R_17,190298,R_17,18774,R_17,209072,R_17,2772,R_17,0,R_17,11614,R_17,14386,R_17,130493,R_17,353951,R_17,0,R_17,0,R_17,0,R_17,0,R_17,0,R_17,0,R_17,43208,1265,R_17,895,R_17,0,R_17,337,R_17,0,R_17,0,R_17,41,R_17,41,R_17,63,R_17,2129,R_17,67848,R_17,418,R_17,14929,R_17,18155,11481,R_17,58,18097,40459,40517,58614,0,R_17,0,R_17,282,R_17,282,R_17,0,R_17,5562,R_17,5562,R_17,0,R_17,20,R_17,6889,R_17,1432,10/01/2016,09/30/2017,60,2017,09
AZ,10986792,R_17,6965897,6965897,85,R_17,136,R_17,11,R_17,463.2,IF17,572.64,IF17,1570.02,IF17,2142.66,IF17,181981565,IF17,1359870,IF17,1885210,IF17,6529775,IF17,191756420,IF17,79923881,IF17,30807861,IF17,110731742,IF17,15148150,IF17,8132366,IF17,5337908,IF17,28618424,IF17,41277932,IF17,180628098,IF17,7496725,IF17,40896,IF17,0,IF17,225762,IF17,7763383,IF17,6039281,IF17,7585916,4377983,R_17,592002,IF17,4534761,IF17,1049065,IF17,285018,IF17,646,IF17,2970,R_17,3616,IF17,17410,IF17,486826,IF17,24588717,IF17,5177089,IF17,3238665,IF17,45351653,12427033,IF17,7664214,37682262,14881869,22547840,59922415,507669,IF17,485720,IF17,85156,IF17,44026,IF17,9453,IF17,1708390,IF17,1142827,IF17,139245,IF17,7364,IF17,5577313,IF17,10813345,07/01/2016,06/30/2017,04,2017,06
CA,39507301,R_17,39507301,39523613,165,R_17,959,R_17,50,R_17,3178.02,IF17,3405.9,IF17,8645.04,IF17,12050.94,IF17,1466205141,IF17,16015943,IF17,3450577,IF17,71094198,IF17,1556765859,IF17,630583575,IF17,314906940,IF17,945490515,IF17,73298018,IF17,40301843,IF17,20652600,IF17,134252461,IF17,408888807,IF17,1488631783,IF17,68435601,IF17,22454,IF17,1067098,IF17,11962515,IF17,81487668,IF17,81808077,IF17,62110372,13594513,IF17,3328908,IF17,17262208,IF17,5317349,IF17,723077,IF17,4143,IF17,6,IF17,4149,IF17,86709,IF17,2386702,IF17,151058515,IF17,18953587,IF17,22813619,IF17,208171464,85181814,IF17,21842312,186369124,68631591,89364987,254659592,3463927,IF17,3068809,IF17,404614,IF17,242357,IF17,40791,IF17,10249635,IF17,7687968,IF17,608684,IF17,23489,IF17,27219883,IF17,22950041,07/01/2016,06/30/2017,06,2017,08
CO,5505446,R_17,5449644,5510454,96,R_17,165,R_17,13,R_17,700.04,R_17,977.08,R_17,2275.04,R_17,3252.12,R_17,318353601,R_17,1790577,R_17,1061643,R_17,24958070,R_17,346163891,R_17,147689159,R_17,44098166,R_17,191787325,R_17,17289444,R_17,15799389,R_17,8777400,R_17,41866233,R_17,69545157,R_17,303198715,R_17,3478720,R_17,147561,R_17,25000,R_17,1064616,R_17,4715897,R_17,20742504,R_17,9517379,2815454,R_17,810860,R_17,2277173,R_17,1406666,R_17,215642,IF17,15227,R_17,4,R_17,15231,R_17,21368,R_17,637132,R_17,31975615,R_17,3679129,IF17,3624818,R_17,62438667,21350097,IF17,8072428,54366239,11231442,19303870,73670109,1305064,IF17,1201877,R_17,124131,R_17,78441,R_17,10775,R_17,2849828,R_17,2041430,R_17,157773,R_17,6413,R_17,6490654,IF17,4004762,01/01/2017,12/31/2017,08,2017,07
CT,4352795,R_17,3576452,3576452,192,R_17,47,R_17,4,R_17,762.5,IF17,1105.25,IF17,1197.16,IF17,2302.41,IF17,177063268,IF17,1115672,IF17,369636,IF17,26412308,IF17,204960884,IF17,122494376,IF17,34809870,IF17,157304246,IF17,12075835,IF17,4613007,IF17,3010729,IF17,19699571,IF17,37081012,IF17,214084829,IF17,5064832,IF17,3761362,IF17,441000,IF17,6406151,IF17,15673345,IF17,22990196,IF17,12958177,2234013,IA17,812555,IF17,1203349,IA17,1210096,IF17,31903,IA17,1661,IF17,7365,IF17,9026,IF17,19839,IF17,561706,IF17,21051597,IF17,3256668,IF17,1547570,IF17,24810595,9715855,IF17,1760145,23050450,1790510,2820379,16354984,811998,IF17,698983,IF17,111493,IF17,59034,IF17,9246,IF17,2196828,IF17,1348421,IF17,111497,IF17,4460,IF17,4055339,IF17,1204675,07/01/2016,06/30/2017,09,2017,01
DC,693972,R_17,693972,693972,1,R_17,25,R_17,0,R_17,142,R_17,142,R_17,366,R_17,508,R_17,55887071,R_17,0,R_17,939782,R_17,1197056,R_17,58023909,R_17,34392720,R_17,8133370,R_17,42526090,R_17,2852682,R_17,1189077,R_17,23287,R_17,4065046,R_17,10937652,R_17,57528788,R_17,48002708,R_17,0,R_17,0,R_17,0,R_17,48002708,R_17,38346139,R_17,1049225,28621,R_17,20707,R_17,13148,R_17,85251,R_17,903,R_17,99,R_17,0,R_17,99,R_17,2702,R_17,83044,R_17,3593201,R_17,813265,IA17,429742,R_17,4292785,1519292,R_17,1199586,3093199,1286981,2486567,5579766,0,R_17,133,R_17,12703,R_17,7832,R_17,691,R_17,361280,R_17,270831,R_17,8921,R_17,1000,R_17,905952,R_17,401168,10/01/2016,09/30/2017,11,2017,02
DE,952079,R_17,952079,952079,19,R_17,13,R_17,2,R_17,60.03,R_17,113.61,R_17,222.57,R_17,336.18,R_17,20984092,R_17,3944320,R_17,26004,R_17,1461046,R_17,26415462,R_17,13645644,R_17,4870571,R_17,18516215,R_17,1754046,R_17,162142,R_17,500061,R_17,2416249,R_17,5704452,R_17,26636916,R_17,8040952,R_17,6680864,R_17,0,R_17,677356,R_17,15399172,R_17,15497162,R_17,1434022,496671,R_17,114264,R_17,121590,R_17,254391,R_17,18102,R_17,48,R_17,126,R_17,174,R_17,3638,R_17,84770,R_17,4117904,R_17,454010,R_17,387988,R_17,5546034,1775169,R_17,414935,5131099,121530,536465,5667564,707681,R_17,797523,R_17,19298,R_17,8004,R_17,1979,R_17,346503,R_17,201539,R_17,32323,R_17,1046,R_17,569467,R_17,209919,07/01/2016,06/30/2017,10,2017,02
