STABR,POPU_LSA,F_POPLSA,POPU_UND,POPU_ST,CENTLIB,F_CENLIB,BRANLIB,F_BRLIB,BKMOB,F_BKMOB,MASTER,F_MASTER,LIBRARIA,F_LIBRAR,OTHPAID,F_OTHSTF,TOTSTAFF,F_TOTSTF,LOCGVT,F_LOCGVT,STGVT,F_STGVT,FEDGVT,F_FEDGVT,OTHINCM,F_OTHINC,TOTINCM,F_TOTINC,SALARIES,F_SALX,BENEFIT,F_BENX,STAFFEXP,F_TOSTFX,PRMATEXP,F_PRMATX,ELMATEXP,F_ELMATX,OTHMATEX,F_OTMATX,TOTEXPCO,F_TOCOLX,OTHOPEXP,F_OTHOPX,TOTOPEXP,F_TOTOPX,LCAP_REV,F_LCAPRV,SCAP_REV,F_SCAPRV,FCAP_REV,F_FCAPRV,OCAP_REV,F_OCAPRV,CAP_REV,F_TCAPRV,CAPITAL,F_TCAPX,BKVOL,F_BKVOL,EBOOK,F_EBOOK,AUDIO_PH,F_AUD_PH,AUDIO_DL,F_AUD_DL,VIDEO_PH,F_VID_PH,VIDEO_DL,F_VID_DL,EC_LO_OT,F_EC_L_O,EC_ST,F_EC_ST,ELECCOLL,F_ELECOL,SUBSCRIP,F_PRSUB,HRS_OPEN,F_HRS_OP,VISITS,F_VISITS,REFERENC,F_REFER,REGBOR,F_REGBOR,TOTCIR,F_TOTCIR,KIDCIRCL,F_KIDCIR,ELMATCIR,F_EMTCIR,PHYSCIR,F_PHYSCR,ELINFO,F_ELINFO,ELCONT,F_ELCONT,TOTCOLL,F_TOTCOL,LOANTO,F_LOANTO,LOANFM,F_LOANFM,TOTPRO,F_TOTPRO,KIDPRO,F_KIDPRO,YAPRO,F_YAPRO,TOTATTEN,F_TOTATT,KIDATTEN,F_KIDATT,YAATTEN,F_YAATT,GPTERMS,F_GPTERM,PITUSR,F_PITUSR,WIFISESS,F_WIFISS,WEBVISIT,STARTDAT,ENDDATE,INCITSST,YR_SUB,OBEREG
AK,651866,R_18,646513,736239,81,R_18,15,R_18,1,R_18,66.54,IF18,117.83,IF18,193.67,IF18,311.5,IF18,36182540,IF18,1025396,IF18,634743,IF18,1475844,IF18,39318523,IF18,14503125,IF18,9467842,IF18,23970967,IF18,2016073,IF18,656811,IF18,493685,IF18,3166569,IF18,10623924,IF18,37761460,IF18,4799,IF18,8761,IF18,0,IF18,88160,IF18,101720,IF18,408518,IF18,2316276,IF18,1424911,IF18,121966,IF18,1053922,IF18,315481,IF18,33533,IF18,352,IF18,3968,R_18,4312,R_18,11316,IF18,144222,IF18,3288344,IF18,333507,IF18,428318,IF18,4604604,IF18,1679380,IF18,761947,IF18,3842657,IF18,809873,IF18,1571820,IF18,5414477,IF18,15387,IF18,9425,IF18,14575,IF18,8576,IF18,1840,IF18,294920,IF18,210122,IF18,21955,IF18,1019,IF18,613001,IF18,610765,IF18,2725101,01/01/2017,06/30/2018,02,2018,08
AL,4863300,R_18,4863300,4863300,223,R_18,73,R_18,14,R_18,326.61,R_18,731.65,R_18,941.97,R_18,1673.62,R_18,96797013,R_18,4441149,R_18,956453,R_18,8595253,R_18,110789868,R_18,58537828,R_18,15603978,R_18,74141806,R_18,6174672,R_18,2392163,R_18,2173858,R_18,10740693,R_18,21869234,R_18,106751733,R_18,7553954,R_18,0,R_18,32250,R_18,1583407,R_18,9169611,R_18,10496197,R_18,8661510,R_18,7435774,IF18,440694,R_18,3126025,IF18,693942,R_18,357352,IF18,1099,R_18,13664,R_18,14763,R_18,7769,R_18,615642,R_18,14191772,R_18,3774004,IF18,2553752,R_18,19873007,R_18,6630281,R_18,3083387,R_18,16789620,R_18,11198916,IF18,14282303,R_18,31071923,R_18,396170,IF18,395382,IF18,55130,R_18,26056,R_18,7374,IF18,1315676,R_18,845249,R_18,135351,IF18,5029,R_18,3639878,IF18,7136475,IF18,11863213,10/01/2017,09/30/2018,01,2018,05
AR,2925255,R_18,2753540,2988248,60,R_18,169,R_18,3,R_18,161.02,IF18,425.78,IF18,648.18,IF18,1073.96,IF18,73182583,IF18,5789663,IF18,8624,IF18,7337826,IF18,86318696,IF18,38252403,IF18,12049210,IF18,50301613,IF18,5154333,IF18,2708680,IF18,1465339,IF18,9328352,IF18,21815982,IF18,81445947,IF18,5602329,IF18,369532,IF18,44035,IF18,131713,IF18,6147609,IF18,7216854,IF18,5868485,IF18,2834473,IF18,264090,IF18,1663667,IF18,541492,IF18,119992,IF18,345,IF18,3072,IF18,3465,IF18,5907,IF18,418123,IF18,9551686,IF18,2460281,IF18,1652672,IF18,13745184,IF18,3960986,IF18,2094376,IF18,11650808,IF18,850575,IF18,2944951,IF18,14595759,IF18,27048,IF18,28471,IF18,47448,IF18,25081,IF18,7975,IF18,1314247,IF18,731004,IF18,137404,IF18,2941,IF18,1533320,IF18,2377810,IF18,9347726,01/01/2018,12/31/2018,05,2018,05
AS,59600,R_18,59600,59600,1,R_18,1,R_18,0,R_18,2,R_18,2,R_18,8,R_18,10,R_18,0,R_18,287000,R_18,115291,R_18,12750,R_18,415041,R_18,213215,R_18,20909,R_18,234124,R_18,4999,R_18,8274,R_18,2344,R_18,15617,R_18,75744,R_18,325485,R_18,0,R_18,0,R_18,0,R_18,0,R_18,0,R_18,0,R_18,43843,R_18,1265,R_18,895,R_18,0,R_18,365,R_18,0,R_18,0,R_18,41,R_18,41,R_18,63,R_18,2530,R_18,48828,R_18,454,R_18,14879,R_18,11808,R_18,6306,R_18,114,R_18,11694,R_18,40459,R_18,40573,R_18,52267,R_18,0,R_18,0,R_18,258,R_18,258,R_18,0,R_18,3759,R_18,3759,R_18,0,R_18,20,R_18,6132,R_18,1832,R_18,-1,10/01/2017,09/30/2018,60,2018,09
AZ,11163726,R_18,7076199,7076199,84,R_18,138,R_18,10,R_18,483.74,IF18,599.76,IF18,1487.21,IF18,2086.97,IF18,190974648,IF18,1557704,IF18,1353381,IF18,6932030,IF18,200817763,IF18,80737711,IF18,31212784,IF18,111950495,IF18,14312960,IF18,8122981,IF18,3450038,IF18,25885979,IF18,52854400,IF18,190690874,IF18,11718835,IF18,80000,IF18,100000,IF18,1537510,IF18,13436345,IF18,9243821,IF18,7735596,IF18,6632211,IF18,570951,IF18,5123250,IF18,1090966,IF18,304966,IF18,525,IF18,3026,R_18,3530,IF18,16253,IF18,481904,IF18,23439707,IF18,2463884,IF18,3202756,IF18,44308183,IF18,10613544,IF18,8468108,IF18,35840075,IF18,12081766,R_18,20549874,IF18,56389949,IF18,459649,IF18,420229,IF18,89970,IF18,43919,IF18,10187,IF18,1751622,IF18,1147074,IF18,148330,IF18,7508,IF18,4341764,IF18,9930067,IF18,-1,07/01/2017,06/30/2018,04,2018,06
CA,39792954,E_18,39792954,39809693,199,R_18,971,R_18,52,R_18,3427.51,IF18,3704.36,IF18,9116.47,IF18,12820.83,IF18,1635440276,IF18,37006234,IF18,8788100,IF18,92563150,IF18,1773797760,IF18,706840028,IF18,367829409,IF18,1074669437,IF18,86143696,IF18,52257414,IF18,22142264,IF18,160543374,IF18,452783949,IF18,1687996760,IF18,95586519,IF18,119762,IF18,78000,IF18,6326800,IF18,102111081,IF18,91357981,IF18,65468846,IF18,16267659,IF18,3393576,IF18,7358588,IF18,5634961,IF18,1175221,IF18,4520,IF18,0,R_18,4566,IF18,129007,IF18,2486961,R_18,160320583,IF18,17485309,IF18,24076014,IF18,226798712,IF18,91189805,IF18,29334207,IF18,197464505,IF18,48948371,IF18,78282578,IF18,275747083,IF18,3328522,IF18,3323853,IF18,453255,IF18,266514,IF18,42505,R_18,11295306,IF18,8229400,IF18,589166,R_18,24856,IF18,28328380,IF18,53466956,IF18,125659045,07/01/2017,06/30/2018,06,2018,08
CO,5576888,R_18,5521527,5582337,96,R_18,167,R_18,13,R_18,726.67,IF18,1011.26,R_18,2439.84,R_18,3451.1,R_18,337318051,R_18,1626735,R_18,781056,R_18,25835758,R_18,365561600,R_18,153547923,R_18,45906469,R_18,199454392,R_18,17596425,R_18,19205006,R_18,6829661,R_18,43631092,R_18,76737559,R_18,319823043,R_18,4196420,R_18,736251,R_18,171928,R_18,907475,R_18,6012074,R_18,17511797,R_18,9573880,R_18,3500009,R_18,779874,R_18,2834198,R_18,1392030,R_18,419024,IF18,19777,R_18,4,R_18,19781,R_18,19737,R_18,640090,R_18,31085356,R_18,3387886,IF18,3441740,R_18,62154044,R_18,20660060,IF18,10124734,IF18,52029310,R_18,12945062,IF18,23069796,IF18,75099106,R_18,1637322,IF18,1372647,R_18,137406,R_18,86794,R_18,11537,IF18,3023516,R_18,2181229,R_18,181189,IF18,6596,R_18,5991745,IF18,9334679,IF18,33257977,01/01/2018,12/31/2018,08,2018,07
CT,4367169,R_18,3588184,3588184,192,R_18,47,R_18,5,R_18,762.45,IF18,1095.29,IF18,1189.07,IF18,2284.36,IF18,177863345,IF18,964498,IF18,414808,IF18,26787596,IF18,206030247,IF18,123024713,IF18,35917676,IF18,158942389,IF18,11332082,IF18,4792974,IF18,2923846,IF18,19048902,IF18,37012673,IF18,215003964,IF18,4799558,IF18,506684,IF18,129440,IF18,5080831,IF18,10516513,IF18,17859514,IF18,13473862,IF18,2796190,IA18,826026,IF18,1203349,IA18,1231126,IF18,34377,IA18,1662,IF18,7279,IF18,9001,IF18,19009,IF18,556198,IF18,20423515,IF18,3179050,IF18,1509514,IF18,25826518,IF18,9096746,IF18,2211217,IF18,23615301,IF18,2965652,IF18,5176869,IF18,28792170,IF18,826161,IF18,762025,IF18,112224,IF18,58398,IF18,9406,IF18,2257675,IF18,1333492,IF18,119125,IF18,4571,IF18,3833202,IF18,3739186,IF18,8986366,07/01/2017,06/30/2018,09,2018,01
DC,702455,R_18,702455,702455,0,R_18,26,R_18,0,R_18,137,R_18,137,R_18,405.8,R_18,542.8,R_18,58629221,R_18,0,R_18,1040073,R_18,1214123,R_18,60883417,R_18,35752544,R_18,8506490,R_18,44259034,R_18,2743821,R_18,1786282,R_18,6157,R_18,4536260,R_18,10804268,R_18,59599562,R_18,82350000,R_18,0,R_18,0,R_18,0,R_18,82350000,R_18,64468700,R_18,1003834,R_18,30301,R_18,28646,R_18,13612,R_18,87828,R_18,903,R_18,100,R_18,0,R_18,100,R_18,2702,R_18,82095,R_18,3632539,R_18,832175,IA18,470477,R_18,4514202,R_18,1669895,R_18,1319108,R_18,3195094,R_18,1842929,R_18,3162037,R_18,6357131,R_18,3,R_18,159,R_18,12922,R_18,8182,R_18,579,R_18,392777,R_18,285406,R_18,9410,R_18,1000,R_18,932308,R_18,402242,R_18,4796477,10/01/2017,09/30/2018,11,2018,02
DE,967974,R_18,967974,967974,19,R_18,14,R_18,2,R_18,63.71,R_18,123.32,R_18,232.96,R_18,356.28,R_18,23006824,R_18,3712810,R_18,675,R_18,1633683,R_18,28353992,R_18,14258073,R_18,5068829,R_18,19326902,R_18,1591895,R_18,268759,R_18,719591,R_18,2580245,R_18,8656725,R_18,30563872,R_18,253254,R_18,6555910,R_18,0,R_18,3636839,R_18,10446003,R_18,12897646,R_18,1391278,R_18,517986,R_18,113091,R_18,146265,R_18,178978,R_18,18123,R_18,46,R_18,126,R_18,172,R_18,3460,R_18,84891,R_18,4122181,R_18,447079,IF18,322777,R_18,5508617,R_18,1793080,R_18,473758,R_18,5034859,R_18,87188,R_18,560946,R_18,5595805,R_18,760884,R_18,780837,R_18,23324,R_18,8619,R_18,2419,R_18,407876,R_18,208312,R_18,29558,R_18,1045,R_18,533693,R_18,648969,R_18,536200,07/01/2017,06/30/2018,10,2018,02
